stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10102,,Carlton St and Opp Cranston Ter,41.686383,-72.774580,,,0,
10103,,Allen St and Dudley St,41.682630,-72.775248,,,0,
10104,,Carlton St and Allen St,41.683228,-72.773989,,,0,
10105,,Carlton St and Roxbury Rd,41.684729,-72.774254,,,0,
10106,,Carlton St and Stratford Rd,41.687393,-72.774785,,,0,
10107,,Carlton St and Commonwealth Ave,41.688680,-72.775013,,,0,
10108,,Carlton St and Eddy Glover Blvd,41.691084,-72.775435,,,0,
10109,,Eddy Glover Blvd and Opp Seneca St,41.691343,-72.776609,,,0,
1011,,Hills St and Wickham Dr,41.743078,-72.582302,,,0,
10110,,Eddy Glover Blvd and Opp Tunixis St,41.690934,-72.780627,,,0,
10111,,Eddy Glover Blvd and 303 Eddy Glover Blvd,41.689237,-72.783242,,,0,
10112,,Eddy Glover Blvd and Opp Commonwealth Ave,41.688021,-72.783219,,,0,
10113,,Commonwealth Ave and McClintock St,41.686726,-72.784538,,,0,
10114,,Eddy Glover Blvd and Hawthorne St,41.686252,-72.783631,,,0,
10115,,Eddy Glover Blvd and Commonwealth Ave,41.687449,-72.783062,,,0,
10116,,Commonwealth Ave and Eddy Glover Blvd,41.687753,-72.782444,,,0,
10117,,Commonwealth Ave and Opp Tunxis St,41.688127,-72.780048,,,0,
10118,,Commonwealth Ave and Pequot St,41.688457,-72.778003,,,0,
10119,,Commonwealth Ave and Carlton St,41.688814,-72.775558,,,0,
1012,,Hills St and Opp Alexander Dr,41.742787,-72.584434,,,0,
10120,,Commonwealth Ave and Park Dr,41.689179,-72.773210,,,0,
10121,,Commonwealth Ave and Stanley St,41.689607,-72.771031,,,0,
10124,,Stanley St and Lyle Rd,41.695712,-72.772249,,,0,
10125,,Stanley St and Blake Rd,41.697124,-72.773809,,,0,
10126,,Stanley St and Opp Christopher Cir,41.698983,-72.774219,,,0,
1013,,Hills St and 381 Hills St,41.742390,-72.587185,,,0,
10137,,Mark Twain Dr and University High,41.796167,-72.709703,,,0,
1014,,Hills St and Brookfield Dr 2,41.741933,-72.590904,,,0,
10147,,State Hwy 71 and Stanley St,41.700690,-72.774799,,,0,
10148,,Stanley St and Blake Rd,41.696937,-72.773991,,,0,
10149,,State Hwy 71 and Lyle Rd,41.695837,-72.772721,,,0,
1015,,Hills St and Brookfield Dr 1,41.741651,-72.593158,,,0,
10151,,Stanley St and Eddy Glover Blvd,41.691904,-72.771320,,,0,
10152,,Commonwealth Ave and Stanley St,41.689768,-72.771104,,,0,
10153,,Commonwealth Ave and Uncas Rd,41.689251,-72.773863,,,0,
10154,,Carlton St and Commonwealth Ave,41.688698,-72.775243,,,0,
10155,,Carlton St and Stratford Rd,41.687357,-72.774990,,,0,
10156,,Carlton St and Cranston Ter,41.686383,-72.774797,,,0,
10157,,Carlton St and Roxbury Rd,41.684685,-72.774484,,,0,
10158,,Allen St and Carlton St,41.682897,-72.774304,,,0,
10159,,Allen St and Oak St,41.682746,-72.775768,,,0,
1016,,Hills St and Opp Greenwood St,41.741086,-72.597071,,,0,
10160,,Oak St and 254 Oak St,41.681209,-72.776096,,,0,
10161,,Oak St and Lasalle St,41.679645,-72.775831,,,0,
10162,,Oak St and Daly Ave,41.678090,-72.775566,,,0,
10163,,Oak St and Putnam St,41.676419,-72.775277,,,0,
10164,,Oak St and North St,41.674712,-72.775205,,,0,
10165,,North St and Erwin Pl,41.673971,-72.776162,,,0,
10166,,North St and Tremont St,41.673801,-72.777940,,,0,
10167,,North St and Sexton St,41.673472,-72.780699,,,0,
10168,,Main St and Opp Lee St,41.672355,-72.781329,,,0,
10169,,Main St and Lafayette St,41.671309,-72.781269,,,0,
1017,,Hills St and Opp Greenbrier Rd,41.740634,-72.599531,,,0,
10170,,Jones Hill Rd and Bellevue Ave,41.248968,-72.977187,,,0,
10182,,Campbell Ave and OPP West Walk,41.259157,-72.945576,,,0,
10184,,Lincoln St and Lincoln Ct,41.664746,-72.796819,,,0,
10186,,Black Rock Ave and S Burritt St,41.664487,-72.798452,,,0,
10187,,Black Rock Ave and Sherwood Rd,41.663808,-72.800581,,,0,
10189,,Black Rock Ave and Opp Harrison St,41.662013,-72.802651,,,0,
1019,,Hills St and Forbes St,41.740096,-72.603578,,,0,
10191,,Black Rock Ave and Oldfield St,41.661701,-72.806510,,,0,
10192,,Black Rock Ave and Opp New Hampshire Dr,41.663050,-72.808166,,,0,
10193,,Black Rock Ave and Warren St,41.663774,-72.810973,,,0,
10194,,Black Rock Ave and Opp Texas Dr,41.664561,-72.813428,,,0,
10195,,Woodford Ave and Mereline Ave,41.668850,-72.846806,,,0,
10196,,Woodford Ave and Dallas Ave,41.669913,-72.850181,,,0,
10197,,Woodford Ave and Kent St,41.671378,-72.854670,,,0,
10198,,Woodford Ave and East St,41.672646,-72.858639,,,0,
102,,Farmington Ave and S Main St,41.761980,-72.741511,,,0,
1020,,Forbes St and Opp Shadycrest Dr,41.741592,-72.605160,,,0,
10200,,E Main St and Opp Crown St,41.672349,-72.864217,,,0,
10201,,E Main St and Opp Plainville Ctr Library,41.671750,-72.865850,,,0,
10202,,E Main St and Norton Pl,41.673583,-72.860987,,,0,
10203,,W Main St and Opp Pierce St,41.670846,-72.869358,,,0,
10204,,W Main St and Opp Strong Ct,41.670283,-72.872128,,,0,
10205,,W Main St and N Washington St,41.670094,-72.875080,,,0,
10206,,Forestville Ave and Opp W Main St,41.669940,-72.879447,,,0,
10207,,E Main St and Broad St,41.672720,-72.897331,,,0,
10208,,Mountain Rd and Middle St,41.666591,-72.922742,,,0,
10209,,Riverside Ave and Main St,41.671257,-72.943219,,,0,
1021,,Forbes St and Bradley St,41.743790,-72.604935,,,0,
10210,,Boston Post Rd and 512 Boston Post Rd,41.083811,-73.463324,,,0,
10211,,Boston Post Rd and 523 Boston Post Rd,41.083549,-73.463886,,,0,
10212,,Forestville Ave and Bohemia St,41.672770,-72.885631,,,0,
10213,,E Main St and 189 E Main St,41.672884,-72.891209,,,0,
10214,,E Main St and Lincoln Ave,41.672721,-72.894875,,,0,
10215,,Broad St and Central St,41.673327,-72.898638,,,0,
10216,,Broad St and Broad Pl,41.671974,-72.903996,,,0,
10217,,Broad St and Emmett St,41.672166,-72.912115,,,0,
10218,,Emmett St and Broad St,41.671593,-72.913215,,,0,
10219,,Pine St and Emmett St,41.668572,-72.914167,,,0,
1022,,Forbes St and Salem Rd,41.745452,-72.605159,,,0,
10220,,Pine St and Dunkin Donuts,41.667030,-72.920783,,,0,
10221,,Pine St and Opp Bishop St,41.668088,-72.916840,,,0,
10222,,South St and Opp Ridge Rd,41.668186,-72.928757,,,0,
10223,,South St and Opp East Rd,41.668479,-72.931249,,,0,
10224,,South St and East St,41.668781,-72.933814,,,0,
10225,,South St and Mellen St,41.668707,-72.936694,,,0,
10227,,South St and Willis St,41.668043,-72.939608,,,0,
10228,,Main St and South St,41.668442,-72.943117,,,0,
10230,,Saw Mill Rd and Hampton Inn,41.269631,-72.975679,,,0,
10231,,Mitchell Dr and Opp Wilbur Cross High School,41.324165,-72.909158,,,0,
10234,,Stafford Ave and Fair St,41.680277,-72.903400,,,0,
10235,,Stafford Ave and Jewel St,41.686586,-72.903456,,,0,
10236,,Stafford Ave and Mountain View Ave,41.693089,-72.907601,,,0,
10238,,Farmington Ave and Mix St,41.693415,-72.914984,,,0,
10239,,Farmington Ave and Vincent Rd,41.692358,-72.917996,,,0,
1024,,Forest St and Blueberry Ln,41.756763,-72.578729,,,0,
10240,,Farmington Ave and Opp Morris Ave,41.691454,-72.920585,,,0,
10243,,Farmington Ave and Hoover Ave,41.688811,-72.930093,,,0,
10244,,Farmington Ave and Oakland St,41.686356,-72.937181,,,0,
10245,,Farmington Ave and Opp Stewart St,41.683762,-72.940492,,,0,
10246,,Farmington Ave and Burlington Ave,41.682223,-72.942523,,,0,
10247,,N Main St and North St,41.680735,-72.947300,,,0,
10249,,N Main St and Center St,41.676142,-72.946868,,,0,
1025,,Forest St and Opp Melton Dr,41.756552,-72.580304,,,0,
10252,,West St and School St,41.671555,-72.949401,,,0,
10253,,West St and Gridley St,41.668098,-72.948319,,,0,
10254,,South St and West St,41.667411,-72.947495,,,0,
10256,,Main St and South St,41.668379,-72.943347,,,0,
10258,,South St and Willis St,41.667909,-72.939439,,,0,
10259,,South St and Seymour St,41.668214,-72.938132,,,0,
10260,,South St and Opp East St,41.668629,-72.933947,,,0,
10261,,South St and East Rd,41.668327,-72.931285,,,0,
10262,,South St and Ridge Rd,41.668052,-72.928998,,,0,
10263,,Sargeant Dr and Sargent Corp 2,41.289333,-72.924135,,,0,
1027,,Forest St and Forest Ln,41.755926,-72.584849,,,0,
1028,,Forest St and Opp Dorothy Rd,41.755662,-72.586836,,,0,
10282,,High St and Goodwin St,41.673970,-72.937089,,,0,
10283,,High St and Bellevue Ave,41.673637,-72.940065,,,0,
10284,,High St and Main St,41.673492,-72.942424,,,0,
10287,,Mountain Rd and Mitchell St,41.666430,-72.922790,,,0,
10288,,Pine St and Terry Commons,41.666968,-72.920383,,,0,
10289,,Pine St and Pine St Package Store,41.667461,-72.918618,,,0,
1029,,Forest St and Opp Noch Ln,41.754347,-72.591371,,,0,
10290,,Pine St and Emmett St,41.668429,-72.914022,,,0,
10291,,Veterans Circle and Campbell Ave,41.285006,-72.958048,,,0,
10294,,Pine St and Barber St,41.668878,-72.910574,,,0,
10295,,Pine St and Birch St,41.668249,-72.902988,,,0,
10296,,Pine St and Opp Forest St,41.668545,-72.900145,,,0,
10297,,Pine St and Daley St,41.668770,-72.897908,,,0,
10298,,Pine St and Stop and Shop,41.668736,-72.894556,,,0,
10299,,Pine St and Marion St,41.668881,-72.890903,,,0,
103,,Reservoir Ave and Bank Of America,41.762284,-72.741148,,,0,
1030,,Forest St and 310 Forest St,41.753608,-72.592900,,,0,
10300,,Pine St and Overlook Ave,41.669141,-72.888169,,,0,
10301,,W Main St and Bohemia St,41.669393,-72.884346,,,0,
10302,,W Main St and Hoerle ct,41.669717,-72.878963,,,0,
10303,,W Main St and Washington St,41.669924,-72.875261,,,0,
10304,,W Main St and Strong Ct,41.670131,-72.871970,,,0,
10305,,W Main St and Pierce St,41.670766,-72.869031,,,0,
10307,,Bridge St and 1st St,41.319553,-73.090423,,,0,
10308,,Alexander Rd and Country Club Rd,41.706164,-72.787771,,,0,
1031,,Forest St and Opp Brewer St,41.752967,-72.594210,,,0,
1032,,Forest St and 228 Forest St,41.752095,-72.596066,,,0,
10323,,Country Club Rd and Highridge Rd,41.708217,-72.778654,,,0,
10324,,Country Club Rd and Opp Nachilly Dr,41.707896,-72.781862,,,0,
10325,,Country Club Rd and Crestwood Ln,41.707335,-72.787346,,,0,
10326,,Alexander Rd and 268 Alexander Rd,41.706450,-72.785531,,,0,
10327,,Alexander Rd and Nachilly Dr,41.706868,-72.781488,,,0,
10328,,Alexander Rd and 100 Alexander Rd,41.707180,-72.778486,,,0,
10329,,Stanley St and Alexander Rd,41.707304,-72.775835,,,0,
1033,,Forest St and 164 Forest St,41.751455,-72.597946,,,0,
10330,,Stanley St and Huber St,41.705624,-72.775981,,,0,
10331,,Stanley St and A W Stanley Park,41.703765,-72.775668,,,0,
10332,,Stanley St and Stanley Woods Condo,41.702773,-72.775354,,,0,
10334,,Talcottville Rd and Opp Loveland Hill Rd,41.860908,-72.482740,,,0,
10335,,Tunxis Com College and Plainville Ave,41.704873,-72.878795,,,0,
10336,,Uconn Medical Ctr and Main Rd,41.730929,-72.790093,,,0,
10338,,Defco Park Rd and Opp Dodge Ave,41.418413,-72.844833,,,0,
10339,,Defco Park and Defco Park Rd,41.419297,-72.850319,,,0,
1034,,Forest St and 128 Forest St,41.750583,-72.600565,,,0,
10343,,Main Rd and The Jackson Laboratory,41.733718,-72.793495,,,0,
10345,,Farmington Ave and Exchange,41.735488,-72.795613,,,0,
10346,,Farmington Ave and 308-314 Farmington Ave,41.733112,-72.797612,,,0,
10347,,Farmington Ave and 400 Farmington Ave,41.730869,-72.799756,,,0,
10348,,Poquonck Ave and 34-36 Poquonock Ave,41.853653,-72.645536,,,0,
10349,,Columbus Blvd and LaQuinta Hotel,41.667734,-72.778477,,,0,
1035,,Forest St and 78 Forest St,41.750041,-72.602214,,,0,
10353,,Farm Springs Rd and 5 Farm Spring Rd,41.709698,-72.804352,,,0,
10354,,Farm Springs Rd and 4 Farm Springs Rd,41.709475,-72.804570,,,0,
10355,,Farm Springs Rd,41.710619,-72.804400,,,0,
10356,,Farm Springs Rd and Main St,41.710521,-72.804631,,,0,
10357,,Farm Springs Rd and Otis Elevator,41.708045,-72.803663,,,0,
10358,,Farm Springs Rd and Otis Elevator,41.708063,-72.803905,,,0,
1036,,Forest St and 40 Forest St,41.749570,-72.603778,,,0,
10360,,Pascone Pl and Price Chopper,41.668717,-72.719765,,,0,
10361,,Maselli Rd and Stew Leonards,41.650388,-72.730219,,,0,
10362,,Walmart and Berlin Tpke,41.662176,-72.720465,,,0,
10363,,Main St and E Main St,41.670183,-72.781149,,,0,
10364,,E Main St and Opp New Britain Plaza,41.670361,-72.779116,,,0,
10366,,E Main St and Stanley St,41.671225,-72.771361,,,0,
10367,,E Main St and Opp Olive St,41.671456,-72.768784,,,0,
10368,,E Main St and Opp Cottage Pl,41.671839,-72.764767,,,0,
1037,,Forest St and Forbes St,41.749170,-72.605087,,,0,
10370,,East St and Sunrise Ave,41.673285,-72.762479,,,0,
10371,,East St and Judd Ave,41.675019,-72.762114,,,0,
10372,,East St and City Ave,41.676189,-72.761919,,,0,
10373,,East St and Thorniley St,41.677494,-72.761833,,,0,
10374,,DIX St and East St,41.680443,-72.761734,,,0,
10375,,DIX Ave and 1st St,41.680585,-72.760306,,,0,
10376,,Dix St and Opp Bedford St,41.680683,-72.759108,,,0,
10377,,DIX Ave and Opp Camden St,41.680789,-72.758031,,,0,
10378,,DIX St and 5th St,41.680994,-72.755901,,,0,
1038,,Forbes St and Opp Salem Rd,41.745488,-72.604917,,,0,
10381,,Thorniley St and 4th St,41.678215,-72.755892,,,0,
10382,,4th St and Opp Prince Ave,41.677160,-72.755881,,,0,
10383,,Charles St and Judd Ave,41.675909,-72.755652,,,0,
10384,,Charles St and Sunrise Ave,41.674479,-72.755400,,,0,
10385,,Charles St and Newington Ave,41.672396,-72.755015,,,0,
10386,,Newington Ave and Childs St,41.671968,-72.756382,,,0,
10387,,Newington Ave and Market St,41.671773,-72.758294,,,0,
10388,,Chapman St and Millard St,41.671310,-72.761174,,,0,
10389,,Chapman St and Rhodes St,41.669799,-72.760909,,,0,
1039,,Brewer St and 502 Brewer St,41.746705,-72.605834,,,0,
10390,,Chapman St and Linden St,41.668342,-72.760656,,,0,
10391,,Chapman St and Belden St,41.667225,-72.760476,,,0,
10392,,Belden St and Goodwin St,41.666967,-72.762097,,,0,
1040,,Brewer St and Roxbury Rd,41.746414,-72.607966,,,0,
10400,,East St and Linden St,41.667549,-72.765315,,,0,
10401,,East St and Jubilee St,41.669060,-72.765217,,,0,
10402,,East St and Opp Florence St,41.670480,-72.764381,,,0,
10403,,E Main St and Cottage Pl,41.672035,-72.764476,,,0,
10404,,E Main St and Olive St,41.671653,-72.768614,,,0,
10405,,E Main St and Stanley St,41.671386,-72.771385,,,0,
10406,,E Main St and New Britain Plaza,41.670621,-72.779189,,,0,
10408,,Columbus Blvd and C V S,41.666678,-72.776228,,,0,
10409,,Chestnut St and Columbus Blvd,41.666088,-72.774789,,,0,
10410,,Chestnut St and Stanley St,41.666382,-72.771728,,,0,
10411,,Kennedy Rd and 1220 Kennedy Rd,41.903119,-72.653006,,,0,
10412,,Stanley St and Park St,41.665810,-72.771244,,,0,
10413,,Stanley St and Pleasant St,41.663968,-72.770363,,,0,
10414,,Stanley St and Kelsey St,41.661912,-72.769009,,,0,
10415,,Stanley St and Henry St,41.660330,-72.768720,,,0,
