service_id,date,exception_type
1,20180903,2
10,20180903,2
10,20181122,2
13,20180903,1
13,20181122,1
14,20180903,2
14,20181122,2
14,20181225,2
17,20180902,1
17,20181122,1
17,20181225,1
22,20180903,2
22,20181122,2
22,20181225,2
25,20180903,1
25,20181122,1
25,20181225,1
4,20180903,1
6,20180903,2
6,20181122,2
6,20181225,2
9,20180903,1
9,20181122,1
9,20181225,1
